,userid,itemid,labels
395,308,402,1
396,308,640,1
397,269,522,1
398,94,265,1
399,268,62,1
400,272,12,1
401,121,291,1
402,296,20,1
403,134,286,1
404,180,462,1
405,234,612,1
406,104,117,1
407,38,758,1
408,269,845,1
409,7,163,1
410,234,1451,1
411,275,405,1
412,52,250,1
413,102,823,1
414,13,186,1
415,178,731,1
416,236,71,1
417,256,781,1
418,263,176,1
419,244,186,1
420,279,1181,1
421,43,815,1
422,83,78,1
423,151,197,1
424,254,436,1
425,109,631,1
426,297,716,1
427,249,188,1
428,144,699,1
429,301,604,1
430,64,392,1
431,92,501,1
432,222,97,1
433,268,436,1
434,293,135,1
435,213,173,1
436,160,460,1
437,13,498,1
438,59,715,1
439,5,17,1
440,125,163,1
441,174,315,1
442,114,505,1
443,213,515,1
444,23,196,1
445,128,15,1
446,239,56,1
447,181,279,1
448,291,80,1
449,250,238,1
450,201,649,1
451,60,60,1
452,181,325,1
453,119,407,1
454,287,1,1
455,216,228,1
456,216,531,1
457,203,471,1
458,92,587,1
459,13,892,1
460,213,176,1
461,286,288,1
462,117,1047,1
463,99,111,1
464,11,558,1
465,65,47,1
466,295,194,1
467,269,217,1
468,85,259,1
469,250,596,1
470,137,144,1
471,201,960,1
472,257,137,1
473,111,328,1
474,91,480,1
475,215,211,1
476,181,938,1
477,189,1060,1
478,1,20,1
479,303,404,1
480,299,305,1
481,187,210,1
482,222,278,1
483,214,568,1
484,293,770,1
485,285,191,1
486,303,252,1
487,96,156,1
488,72,1110,1
489,115,1067,1
490,7,430,1
491,116,350,1
492,73,480,1
493,269,246,1
494,263,419,1
495,70,431,1
496,221,475,1
497,72,182,1
498,25,357,1
499,290,50,1
500,189,526,1
501,299,303,1
502,264,294,1
503,200,365,1
504,187,135,1
505,184,187,1
506,63,289,1
507,13,229,1
508,298,486,1
509,235,185,1
510,62,712,1
511,246,94,1
512,54,742,1
513,63,762,1
514,11,732,1
515,92,168,1
516,8,550,1
517,307,174,1
518,303,200,1
519,256,849,1
520,72,54,1
521,164,406,1
522,117,150,1
523,224,77,1
524,193,869,1
525,94,184,1
526,281,338,1
527,130,109,1
528,128,371,1
529,94,720,1
530,182,845,1
531,129,873,1
532,254,229,1
533,64,381,1
534,151,176,1
535,45,25,1
536,193,879,1
537,276,922,1
538,276,57,1
539,234,187,1
540,181,306,1
541,21,370,1
542,293,249,1
543,264,721,1
544,10,611,1
545,197,346,1
546,276,142,1
547,308,427,1
548,221,943,1
549,131,126,1
550,268,824,1
551,109,8,1
552,198,58,1
553,230,680,1
554,181,741,1
555,192,1061,1
556,234,448,1
557,90,900,1
558,193,941,1
559,128,603,1
560,126,905,1
561,244,265,1
562,90,289,1
563,157,25,1
564,305,71,1
565,119,382,1
566,21,222,1
567,231,181,1
568,280,508,1
569,288,132,1
570,279,1497,1
571,301,33,1
572,72,699,1
573,90,259,1
574,308,55,1
575,59,742,1
576,94,744,1
577,130,642,1
578,26,1015,1
579,56,121,1
580,82,508,1
581,62,12,1
582,276,40,1
583,181,1015,1
584,152,301,1
585,178,845,1
586,217,597,1
587,79,303,1
588,138,484,1
589,308,81,1
590,75,284,1
591,269,198,1
592,307,94,1
593,222,781,1
594,121,740,1
595,269,22,1
596,13,864,1
597,230,742,1
598,269,507,1
599,239,1099,1
600,245,1028,1
601,56,546,1
602,295,961,1
603,271,1028,1
604,222,812,1
605,69,240,1
606,10,7,1
607,22,376,1
608,294,931,1
609,82,717,1
610,279,399,1
611,269,234,1
612,6,98,1
613,243,1039,1
614,298,181,1
615,282,325,1
616,78,323,1
617,118,200,1
618,283,1114,1
619,171,292,1
620,70,217,1
621,10,100,1
622,245,181,1
623,107,333,1
624,246,561,1
625,13,901,1
626,276,70,1
627,244,17,1
628,189,56,1
629,226,242,1
630,62,1016,1
631,276,417,1
632,214,478,1
633,306,235,1
634,222,26,1
635,280,631,1
636,60,430,1
637,56,71,1
638,42,274,1
639,1,202,1
640,13,809,1
641,173,289,1
642,15,749,1
643,185,23,1
644,280,540,1
645,244,381,1
646,150,293,1
647,7,497,1
648,178,317,1
649,178,742,1
650,95,1217,1
651,234,1462,1
652,97,222,1
653,109,127,1
654,117,268,1
655,269,705,1
656,130,1246,1
657,264,655,1
658,207,13,1
659,42,588,1
660,246,409,1
661,87,367,1
662,101,304,1
663,256,127,1
664,92,794,1
665,181,762,1
666,213,235,1
667,92,739,1
668,292,661,1
669,246,665,1
670,274,845,1
671,188,692,1
672,18,86,1
673,5,439,1
674,236,632,1
675,193,407,1
676,144,709,1
677,90,1198,1
678,48,609,1
679,5,225,1
680,22,128,1
681,311,432,1
682,8,22,1
683,276,188,1
684,222,173,1
685,72,866,1
686,299,134,1
687,1,171,1
688,308,295,1
689,165,216,1
690,222,49,1
691,181,121,1
692,200,11,1
693,234,626,1
694,244,707,1
695,90,25,1
696,208,216,1
697,263,96,1
698,134,323,1
699,279,586,1
700,2,292,1
701,288,593,1
702,49,302,1
703,286,153,1
704,205,304,1
705,22,80,1
706,234,318,1
707,223,328,1
708,15,25,1
709,268,147,1
710,94,1220,1
711,274,405,1
712,7,492,1
713,268,217,1
714,16,55,1
715,164,620,1
716,290,161,1
717,92,515,1
718,239,1070,1
719,56,449,1
720,248,234,1
721,234,10,1
722,280,1049,1
723,308,187,1
724,276,64,1
725,192,948,1
726,122,509,1
727,85,588,1
728,262,931,1
729,201,272,1
730,181,870,1
731,295,739,1
732,263,568,1
733,295,39,1
734,201,1100,1
735,93,820,1
736,159,1028,1
737,158,665,1
738,293,423,1
739,82,597,1
740,276,181,1
741,13,823,1
742,217,2,1
743,83,660,1
744,189,20,1
745,222,796,1
746,146,1022,1
747,267,121,1
748,126,294,1
749,181,1060,1
750,125,80,1
751,43,120,1
752,13,780,1
753,253,259,1
754,42,44,1
755,77,518,1
756,291,686,1
757,268,21,1
758,262,28,1
759,234,81,1
760,29,245,1
761,236,57,1
762,158,729,1
763,156,661,1
764,232,52,1
765,168,866,1
766,37,288,1
767,141,245,1
768,235,230,1
769,102,70,1
770,77,172,1
771,90,506,1
772,186,566,1
773,44,660,1
774,118,774,1
775,7,661,1
776,49,1003,1
777,62,68,1
778,42,1028,1
779,178,433,1
780,85,51,1
781,77,474,1
782,58,1099,1
783,56,1047,1
784,197,688,1
785,286,99,1
786,90,258,1
787,181,1288,1
788,295,190,1
789,224,69,1
790,272,317,1
791,221,1010,1
792,66,877,1
793,207,318,1
794,234,487,1
795,7,648,1
796,87,82,1
797,195,1052,1
798,44,449,1
799,306,287,1
800,194,172,1
801,94,62,1
802,167,659,1
803,108,100,1
804,230,304,1
805,181,927,1
806,54,302,1
807,90,22,1
808,181,696,1
809,286,357,1
810,14,269,1
811,311,179,1
812,92,121,1
813,21,440,1
814,244,550,1
815,181,405,1
816,65,806,1
817,37,540,1
818,44,443,1
819,244,183,1
820,1,265,1
821,270,25,1
822,299,387,1
823,94,572,1
824,286,746,1
825,239,272,1
826,216,55,1
827,254,121,1
828,62,665,1
829,178,385,1
830,194,23,1
831,268,955,1
832,188,143,1
833,276,294,1
834,158,1098,1
835,207,845,1
836,161,48,1
837,305,654,1
838,47,324,1
839,64,736,1
840,191,751,1
841,7,378,1
842,59,92,1
843,69,268,1
844,10,461,1
845,21,129,1
846,58,9,1
847,194,152,1
848,7,200,1
849,113,126,1
850,173,328,1
851,95,233,1
852,16,194,1
853,59,323,1
854,311,654,1
855,292,589,1
856,43,203,1
857,79,50,1
858,235,70,1
859,125,190,1
860,284,322,1
861,303,161,1
862,254,378,1
863,255,1034,1
864,104,301,1
865,90,923,1
866,6,463,1
867,279,122,1
868,286,298,1
869,222,448,1
870,297,57,1
871,42,625,1
872,130,1217,1
873,254,357,1
874,109,475,1
875,230,1444,1
876,244,310,1
877,6,301,1
878,36,748,1
879,256,443,1
880,102,515,1
881,104,285,1
882,21,447,1
883,111,301,1
884,18,408,1
885,25,222,1
886,110,944,1
887,270,98,1
888,68,237,1
889,83,215,1
890,6,258,1
891,89,216,1
892,128,317,1
893,305,512,1
894,184,412,1
895,286,175,1
896,279,1428,1
897,256,86,1
898,221,48,1
899,140,332,1
900,190,977,1
901,11,227,1
902,201,203,1
903,150,181,1
904,126,245,1
905,20,208,1
906,144,742,1
907,181,930,1
908,109,566,1
909,85,1065,1
910,213,133,1
911,222,379,1
912,223,11,1
913,215,421,1
914,218,208,1
915,174,937,1
916,275,186,1
917,68,742,1
918,268,583,1
919,160,462,1
920,195,273,1
921,224,178,1
922,5,110,1
923,99,1016,1
924,2,251,1
925,292,9,1
926,72,568,1
927,85,228,1
928,83,281,1
929,92,831,1
930,7,543,1
931,87,401,1
932,287,926,1
933,1,155,1
934,234,632,1
935,222,53,1
936,24,64,1
937,7,554,1
938,82,56,1
939,161,318,1
940,196,393,1
941,56,91,1
942,82,477,1
943,7,472,1
944,256,761,1
945,226,56,1
946,279,741,1
947,308,1286,1
948,16,8,1
949,180,202,1
950,203,93,1
951,145,56,1
952,288,305,1
953,84,742,1
954,44,644,1
955,17,13,1
956,313,117,1
957,148,1,1
958,197,347,1
959,21,164,1
960,279,982,1
961,239,491,1
962,185,287,1
963,297,89,1
964,303,68,1
965,186,250,1
966,73,206,1
967,104,756,1
968,94,216,1
969,239,194,1
970,197,511,1
971,280,1,1
972,1,117,1
973,224,583,1
974,303,397,1
975,60,162,1
976,198,258,1
977,239,513,1
978,6,69,1
979,233,375,1
980,85,642,1
981,110,38,1
982,184,522,1
983,99,873,1
984,13,418,1
985,201,518,1
986,13,858,1
987,214,131,1
988,296,228,1
989,222,87,1
990,279,725,1
991,217,182,1
992,85,433,1
993,239,234,1
994,13,72,1
995,194,77,1
996,208,663,1
997,109,178,1
998,230,172,1
999,59,485,1
1000,313,478,1
1001,70,1133,1
1002,62,182,1
1003,198,234,1
1004,65,125,1
1005,174,660,1
1006,90,12,1
1007,130,1248,1
1008,100,354,1
1009,283,432,1
1010,275,418,1
1011,311,98,1
1012,195,751,1
1013,130,105,1
1014,269,252,1
1015,286,73,1
1016,7,623,1
1017,56,222,1
1018,210,204,1
1019,239,9,1
1020,96,87,1
1021,297,73,1
1022,249,239,1
1023,94,860,1
1024,84,121,1
1025,275,265,1
1026,135,1046,1
1027,291,1178,1
1028,125,382,1
1029,70,399,1
1030,311,9,1
1031,301,523,1
1032,152,685,1
1033,244,172,1
1034,275,1091,1
1035,53,281,1
1036,198,118,1
1037,244,790,1
1038,26,125,1
1039,151,13,1
1040,124,496,1
1041,24,191,1
1042,271,65,1
1043,307,634,1
1044,294,1245,1
1045,234,241,1
1046,25,501,1
1047,293,137,1
1048,201,432,1
1049,75,240,1
1050,13,181,1
1051,207,68,1
1052,2,50,1
1053,313,566,1
1054,144,125,1
1055,188,443,1
1056,276,324,1
1057,145,974,1
1058,72,234,1
1059,83,385,1
1060,181,619,1
1061,109,402,1
1062,207,107,1
1063,185,216,1
1064,14,213,1
1065,149,319,1
1066,57,79,1
1067,230,963,1
1068,176,875,1
1069,253,97,1
1070,284,269,1
1071,106,526,1
1072,121,180,1
1073,62,86,1
1074,291,418,1
1075,84,1033,1
1076,293,380,1
1077,207,58,1
1078,194,187,1
1079,109,97,1
1080,283,845,1
1081,297,275,1
1082,181,334,1
1083,78,255,1
1084,11,425,1
1085,308,59,1
1086,193,1078,1
1087,297,234,1
1088,87,585,1
1089,250,204,1
1090,8,50,1
1091,186,148,1
1092,312,692,1
1093,91,683,1
1094,5,454,1
1095,291,376,1
1096,175,127,1
1097,145,737,1
1098,7,644,1
1099,276,419,1
1100,83,210,1
1101,102,524,1
1102,153,174,1
1103,62,302,1
1104,49,995,1
1105,268,298,1
1106,207,554,1
1107,313,616,1
1108,286,44,1
1109,279,168,1
1110,276,474,1
1111,62,59,1
1112,254,219,1
1113,83,97,1
1114,63,100,1
1115,16,178,1
1116,297,233,1
1117,90,945,1
1118,85,25,1
1119,42,98,1
1120,303,393,1
1121,274,50,1
1122,104,299,1
1123,94,792,1
1124,184,98,1
1125,293,708,1
1126,248,589,1
1127,18,950,1
1128,217,27,1
1129,200,892,1
1130,201,148,1
1131,296,222,1
1132,7,662,1
1133,196,381,1
1134,69,427,1
1135,72,196,1
1136,256,472,1
1137,128,182,1
1138,151,747,1
1139,7,171,1
1140,286,85,1
1141,172,220,1
1142,308,516,1
1143,190,974,1
1144,82,756,1
1145,308,436,1
1146,59,235,1
1147,64,1063,1
1148,145,756,1
1149,220,298,1
1150,21,324,1
1151,285,269,1
1152,207,65,1
1153,198,658,1
1154,220,333,1
1155,210,70,1
1156,181,14,1
1157,158,128,1
1158,143,682,1
1159,75,237,1
1160,199,221,1
1161,223,1150,1
1162,297,25,1
1163,276,78,1
1164,299,847,1
1165,293,325,1
1166,301,138,1
1167,1,47,1
1168,164,281,1
1169,96,673,1
1170,291,1016,1
1171,7,451,1
1172,233,177,1
1173,6,517,1
1174,202,283,1
1175,214,117,1
1176,184,602,1
1177,277,257,1
1178,194,212,1
1179,95,68,1
1180,25,257,1
1181,6,23,1
1182,38,573,1
1183,313,436,1
1184,22,241,1
1185,262,617,1
1186,130,569,1
1187,66,181,1
1188,21,948,1
1189,181,1332,1
1190,262,174,1
1191,206,302,1
1192,222,22,1
1193,76,61,1
1194,151,703,1
1195,314,28,1
1196,13,147,1
1197,44,258,1
1198,303,418,1
1199,16,89,1
1200,270,558,1
1201,248,117,1
1202,125,318,1
1203,138,523,1
1204,268,386,1
1205,291,15,1
1206,234,147,1
1207,239,96,1
1208,15,331,1
1209,94,155,1
1210,136,89,1
1211,223,423,1
1212,82,194,1
1213,145,355,1
1214,280,845,1
1215,179,339,1
1216,178,199,1
1217,307,949,1
1218,10,488,1
1219,116,331,1
1220,23,258,1
1221,308,174,1
1222,185,114,1
1223,188,237,1
1224,118,654,1
1225,246,721,1
1226,234,98,1
1227,194,239,1
1228,94,24,1
1229,122,378,1
1230,312,100,1
1231,262,64,1
1232,154,242,1
1233,223,763,1
1234,99,403,1
1235,83,43,1
1236,130,307,1
1237,174,402,1
1238,256,487,1
1239,59,177,1
1240,161,168,1
1241,244,53,1
1242,250,196,1
1243,43,40,1
1244,285,150,1
1245,42,953,1
1246,97,670,1
1247,122,510,1
1248,61,323,1
1249,222,106,1
1250,4,264,1
1251,304,259,1
1252,37,403,1
1253,49,68,1
1254,303,1098,1
1255,165,372,1
1256,176,324,1
1257,3,335,1
1258,56,869,1
1259,44,15,1
1260,190,117,1
1261,29,189,1
1262,94,174,1
1263,130,949,1
1264,117,181,1
1265,303,779,1
1266,19,435,1
1267,194,191,1
1268,158,24,1
1269,56,447,1
1270,262,223,1
1271,181,1334,1
1272,214,137,1
1273,92,747,1
1274,188,96,1
1275,58,173,1
1276,244,154,1
1277,134,879,1
1278,298,625,1
1279,254,230,1
1280,230,138,1
1281,16,209,1
1282,151,835,1
1283,181,1327,1
1284,145,1248,1
1285,200,588,1
1286,248,257,1
1287,297,432,1
1288,312,133,1
1289,151,12,1
1290,110,568,1
1291,305,483,1
1292,141,258,1
1293,44,240,1
1294,186,263,1
1295,214,213,1
1296,233,208,1
1297,104,287,1
1298,312,153,1
1299,1,222,1
1300,206,323,1
1301,230,419,1
1302,56,450,1
1303,94,651,1
1304,205,316,1
1305,14,174,1
1306,268,790,1
1307,276,1081,1
1308,83,929,1
1309,268,580,1
1310,222,1041,1
1311,279,89,1
1312,5,424,1
1313,112,331,1
1314,296,429,1
1315,18,202,1
1316,13,868,1
1317,87,210,1
1318,10,285,1
1319,181,328,1
1320,23,463,1
1321,253,746,1
1322,234,228,1
1323,299,1047,1
1324,66,1,1
1325,216,174,1
1326,290,208,1
1327,79,1161,1
1328,264,448,1
1329,4,303,1
1330,144,831,1
1331,138,517,1
1332,64,433,1
1333,5,1,1
1334,276,357,1
1335,62,433,1
1336,239,475,1
1337,293,166,1
1338,130,234,1
1339,264,70,1
1340,208,197,1
1341,24,763,1
1342,279,1162,1
1343,3,245,1
1344,101,596,1
1345,162,1019,1
1346,223,908,1
1347,99,246,1
1348,239,430,1
1349,160,160,1
1350,172,580,1
1351,303,1160,1
1352,54,676,1
1353,44,507,1
1354,210,97,1
1355,164,930,1
1356,299,240,1
1357,28,217,1
1358,305,79,1
1359,18,729,1
1360,82,343,1
1361,109,1012,1
1362,207,25,1
1363,92,1209,1
1364,109,1,1
1365,15,222,1
1366,58,709,1
1367,303,693,1
1368,152,111,1
1369,194,160,1
1370,92,241,1
1371,77,91,1
1372,244,662,1
1373,177,321,1
1374,131,221,1
1375,197,302,1
1376,227,50,1
1377,85,282,1
1378,295,72,1
1379,181,1,1
1380,277,255,1
1381,279,96,1
1382,1,253,1
1383,18,182,1
1384,276,568,1
1385,87,177,1
1386,177,69,1
1387,213,13,1
1388,125,134,1
1389,128,739,1
1390,291,428,1
1391,25,208,1
1392,288,272,1
1393,207,1350,1
1394,271,56,1
1395,5,363,1
1396,274,748,1
1397,70,419,1
1398,311,559,1
1399,151,919,1
1400,199,268,1
1401,201,209,1
1402,99,274,1
1403,11,740,1
1404,59,77,1
1405,184,277,1
1406,222,88,1
1407,38,161,1
1408,59,418,1
1409,104,300,1
1410,298,1346,1
1411,180,1119,1
1412,7,674,1
1413,121,14,1
1414,268,1041,1
1415,252,277,1
1416,303,411,1
1417,210,527,1
1418,234,648,1
1419,312,573,1
1420,308,215,1
1421,234,1397,1
1422,75,546,1
1423,117,15,1
1424,246,239,1
1425,64,516,1
1426,85,187,1
1427,239,81,1
1428,59,54,1
1429,256,220,1
1430,216,196,1
1431,203,282,1
1432,13,195,1
1433,144,153,1
1434,100,268,1
1435,210,274,1
1436,94,471,1
1437,13,807,1
1438,125,657,1
1439,65,1142,1
1440,1,113,1
1441,76,175,1
1442,294,508,1
1443,263,1451,1
1444,294,930,1
1445,121,117,1
1446,85,13,1
1447,303,426,1
1448,212,180,1
1449,6,492,1
1450,181,240,1
1451,279,746,1
1452,303,1109,1
1453,184,191,1
1454,310,116,1
1455,313,22,1
1456,314,1150,1
1457,13,121,1
1458,43,5,1
1459,58,214,1
1460,215,164,1
1461,62,288,1
1462,280,127,1
1463,161,898,1
1464,11,723,1
1465,94,218,1
1466,35,243,1
1467,311,566,1
1468,48,680,1
1469,85,604,1
1470,288,527,1
1471,184,514,1
1472,151,929,1
1473,90,690,1
1474,11,38,1
1475,104,1016,1
1476,106,582,1
1477,181,1010,1
1478,37,117,1
1479,276,845,1
1480,22,258,1
1481,70,82,1
1482,5,98,1
1483,308,95,1
1484,60,208,1
1485,270,778,1
1486,243,208,1
1487,92,540,1
1488,81,280,1
1489,293,412,1
1490,200,478,1
1491,13,308,1
1492,56,184,1
1493,116,250,1
1494,295,172,1
1495,63,1007,1
1496,295,235,1
1497,104,1010,1
1498,156,641,1
1499,269,1165,1
1500,160,430,1
1501,237,191,1
1502,287,252,1
1503,290,132,1
1504,45,109,1
1505,224,678,1
1506,145,764,1
1507,277,1011,1
1508,65,100,1
1509,272,1101,1
1510,116,255,1
1511,184,86,1
1512,285,151,1
1513,222,148,1
1514,72,28,1
1515,271,187,1
1516,94,211,1
1517,246,425,1
1518,115,8,1
1519,176,327,1
1520,13,396,1
1521,129,331,1
1522,257,1260,1
1523,95,1,1
1524,147,904,1
1525,151,58,1
1526,184,660,1
1527,311,386,1
1528,105,268,1
1529,158,510,1
1530,34,312,1
1531,72,427,1
1532,263,416,1
1533,94,1048,1
1534,200,291,1
1535,45,118,1
1536,279,144,1
1537,145,22,1
1538,71,89,1
1539,182,69,1
1540,193,627,1
1541,214,302,1
1542,151,485,1
1543,102,322,1
1544,234,571,1
1545,249,930,1
1546,195,328,1
1547,109,258,1
1548,222,552,1
1549,282,288,1
1550,117,758,1
1551,23,381,1
1552,112,327,1
1553,303,145,1
1554,252,300,1
1555,151,372,1
1556,282,327,1
1557,304,237,1
1558,290,568,1
1559,64,160,1
1560,28,79,1
1561,168,1278,1
1562,265,471,1
1563,18,113,1
1564,83,82,1
1565,90,499,1
1566,234,1186,1
1567,87,196,1
1568,26,685,1
1569,150,129,1
1570,161,98,1
1571,70,210,1
1572,51,182,1
1573,222,1057,1
1574,92,176,1
1575,204,216,1
1576,164,685,1
1577,57,682,1
1578,184,207,1
1579,60,403,1
1580,92,180,1
1581,43,204,1
1582,222,1042,1
1583,197,300,1
1584,92,790,1
1585,294,282,1
1586,201,747,1
1587,201,215,1
1588,193,410,1
1589,271,705,1
1590,214,693,1
1591,73,657,1
1592,90,187,1
1593,315,273,1
1594,48,309,1
1595,255,472,1
1596,270,671,1
1597,66,7,1
1598,6,478,1
1599,101,222,1
1600,207,1046,1
1601,144,182,1
1602,85,83,1
1603,102,625,1
1604,158,770,1
1605,297,588,1
1606,90,507,1
1607,271,482,1
1608,130,901,1
1609,178,276,1
1610,90,245,1
1611,181,1094,1
1612,311,143,1
1613,267,17,1
1614,201,51,1
1615,194,647,1
1616,59,387,1
1617,1,227,1
1618,116,751,1
1619,170,292,1
1620,110,578,1
1621,60,1021,1
1622,287,347,1
1623,197,55,1
1624,38,679,1
1625,195,1014,1
1626,279,227,1
1627,84,748,1
1628,31,886,1
1629,316,98,1
1630,25,25,1
1631,168,274,1
1632,103,24,1
1633,299,588,1
1634,194,478,1
1635,287,294,1
1636,234,582,1
1637,279,1048,1
1638,87,9,1
1639,181,408,1
1640,279,1151,1
1641,49,47,1
1642,296,855,1
1643,44,95,1
1644,92,216,1
1645,135,39,1
1646,13,66,1
1647,262,386,1
1648,7,676,1
1649,116,942,1
